,Hybrid Sort,Time Complexity
499,6150,26758.11387
500,6182,26814.03683
501,6197,26867.97242
502,6204,26920.97459
503,6237,26977.00764
504,6270,27033.03278
505,6271,27085.34181
506,6300,27140.90012
507,6346,27198.41546
508,6393,27256.02509
509,6417,27310.98616
510,6395,27360.67136
511,6383,27411.49096
512,6450,27471.40272
513,6457,27524.41648
514,6466,27577.65909
515,6453,27628.37273
516,6513,27687.4657
517,6526,27741.16677
518,6552,27796.35208
519,6551,27848.45462
520,6567,27902.49848
521,6622,27960.98201
522,6676,28019.32209
523,6709,28075.27539
524,6639,28119.58347
525,6722,28181.21314
526,6752,28236.82678
527,6756,28289.51518
528,6786,28345.12644
529,6823,28401.51623
530,6772,28448.02439
531,6834,28507.23758
532,6871,28563.62367
533,6834,28611.71866
534,6893,28670.57768
535,6888,28722.26378
536,6919,28777.97863
537,6927,28831.1201
538,6991,28890.50357
539,7014,28945.31346
540,6991,28995.01246
541,6997,29047.93247
542,7053,29106.41478
543,7045,29157.78355
544,7128,29219.22942
545,7165,29275.56802
546,7167,29328.06049
547,7232,29387.45572
548,7181,29434.14146
549,7225,29491.24762
550,7247,29545.9342
551,7246,29598.10038
552,7264,29652.34926
553,7331,29711.94822
554,7348,29766.08413
555,7318,29815.09381
556,7324,29868.0281
557,7390,29927.5126
558,7375,29978.16276
559,7429,30036.32654
560,7459,30091.87076
561,7508,30149.4617
562,7458,30196.34248
563,7530,30256.43243
564,7558,30311.74992
565,7548,30362.97098
566,7590,30419.79787
567,7602,30473.3914
568,7607,30526.23119
569,7655,30583.69414
570,7710,30641.88731
571,7681,30691.09669
572,7723,30747.90251
573,7762,30804.37766
574,7733,30853.5938
575,7840,30917.30138
576,7841,30969.73264
577,7886,31026.81933
578,7840,31074.26968
579,7904,31133.37871
580,7922,31187.60914
581,7945,31242.36698
582,7958,31296.06924
583,7959,31348.5043
584,8020,31407.26419
585,8022,31459.81026
586,8051,31515.19452
587,8108,31573.50533
588,8102,31625.22133
589,8078,31675.04092
590,8104,31730.10992
591,8100,31782.0249
592,8132,31837.72515
593,8226,31899.89363
594,8250,31954.74041
595,8253,32007.40445
596,8300,32064.63735
597,8288,32115.74704
598,8328,32172.2521
599,8345,32226.3702
600,8358,32280.07401
601,8374,32334.08849
602,8411,32390.27405
603,8393,32440.77087
604,8452,32499.23008
605,8505,32557.04903
