6612,1193,1193
6659,1202,1202
6775,1211,1211
6803,1220,1220
6959,1229,1229
7066,1238,1238
7100,1247,1247
7216,1256,1256
7266,1265,1265
7340,1274,1274
7340,1283,1283
7591,1292,1292
7548,1301,1301
7660,1310,1310
7727,1319,1319
7802,1328,1328
7964,1337,1337
7996,1346,1346
8086,1355,1355
8224,1364,1364
8355,1373,1373
8427,1382,1382
8561,1391,1391
8603,1400,1400
8724,1409,1409
8838,1418,1418
8818,1427,1427
8963,1436,1436
9048,1445,1445
9165,1454,1454
9238,1463,1463
9373,1472,1472
9534,1481,1481
9429,1490,1490
9649,1499,1499
9778,1508,1508
9863,1517,1517
9893,1526,1526
10060,1535,1535
10067,1544,1544
10123,1553,1553
10265,1562,1562
10430,1571,1571
10475,1580,1580
10620,1589,1589
10687,1598,1598
10821,1607,1607
10979,1616,1616
11107,1625,1625
11169,1634,1634
11230,1643,1643
11370,1652,1652
11450,1661,1661
11568,1670,1670
11681,1679,1679
11802,1688,1688
11982,1697,1697
12047,1706,1706
12097,1715,1715
12142,1724,1724
12417,1733,1733
12510,1742,1742
12564,1751,1751
12662,1760,1760
12766,1769,1769
12837,1778,1778
13082,1787,1787
13074,1796,1796
13196,1805,1805
13439,1814,1814
13429,1823,1823
13588,1832,1832
13838,1841,1841
13868,1850,1850
13950,1859,1859
14013,1868,1868
14165,1877,1877
14320,1886,1886
14415,1895,1895
14443,1904,1904
14656,1913,1913
14818,1922,1922
14991,1931,1931
14975,1940,1940
15199,1949,1949
15352,1958,1958
15453,1967,1967
15543,1976,1976
15716,1985,1985
15705,1994,1994
15930,2003,2003
16027,2012,2012
16219,2021,2021
16271,2030,2030
16432,2039,2039
16584,2048,2048
16668,2058,2058
16896,2068,2068
16807,2078,2078
17085,2088,2088
17374,2098,2098
17340,2108,2108
17452,2118,2118
17557,2128,2128
17705,2138,2138
17788,2148,2148
17904,2158,2158
18031,2168,2168
18253,2178,2178
18444,2188,2188
18625,2198,2198
18720,2208,2208
18887,2218,2218
18977,2228,2228
19078,2238,2238
19152,2248,2248
19400,2258,2258
19484,2268,2268
19633,2278,2278
19762,2288,2288
19928,2298,2298
20149,2308,2308
20127,2318,2318
20400,2328,2328
20414,2338,2338
20706,2348,2348
20837,2358,2358
20898,2368,2368
21123,2378,2378
21129,2388,2388
21264,2398,2398
21484,2408,2408
21548,2418,2418
21741,2428,2428
21827,2438,2438
22155,2448,2448
22152,2458,2458
22357,2468,2468
22549,2478,2478
22577,2488,2488
22859,2498,2498
22922,2508,2508
23146,2518,2518
23261,2528,2528
23361,2538,2538
23460,2548,2548
23812,2558,2558
24006,2568,2568
24308,2578,2578
24291,2588,2588
24361,2598,2598
24488,2608,2608
24754,2618,2618
24849,2628,2628
25036,2638,2638
25027,2648,2648
25232,2658,2658
25533,2668,2668
25684,2678,2678
25811,2688,2688
26053,2698,2698
26143,2708,2708
26265,2718,2718
26463,2728,2728
26473,2738,2738
26844,2748,2748
26965,2758,2758
26924,2768,2768
27350,2778,2778
27575,2788,2788
27612,2798,2798
27594,2808,2808
27775,2818,2818
27971,2828,2828
28138,2838,2838
28598,2848,2848
28566,2858,2858
28888,2868,2868
28960,2878,2878
28952,2888,2888
29108,2898,2898
29479,2908,2908
29735,2918,2918
29670,2928,2928
30056,2938,2938
30191,2948,2948
30451,2958,2958
30196,2968,2968
30724,2978,2978
30564,2988,2988
31178,2998,2998
31294,3008,3008
31350,3018,3018
31493,3028,3028
31834,3038,3038
31924,3048,3048
32324,3058,3058
32301,3068,3068
32327,3078,3078
32559,3088,3088
32509,3098,3098
33055,3108,3108
33010,3118,3118
33184,3128,3128
33386,3138,3138
33501,3148,3148
33897,3158,3158
